totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
484.5,116.362276,39.909851,48.48,1,1,1,1,1,1.0,1984,3,6,1.0,1.0,1.0
267.0,116.476467,39.888742,64.17,2,1,1,1,2,1.0,1994,4,6,1.0,0.0,1.0
287.0,116.265774,40.170928,61.89,2,1,1,1,1,4.0,2010,1,6,1.0,0.0,0.0
228.0,116.340473,39.886963,31.7,1,0,1,1,0,4.0,1992,4,2,0.0,0.0,1.0
555.0,116.35592,39.944282,108.47,2,1,1,1,1,1.0,2010,4,6,1.0,0.0,1.0
408.0,116.31020500000001,39.987486,45.38,1,0,1,1,1,3.0,2004,3,6,1.0,1.0,1.0
372.0,116.421749,39.978035999999996,54.69,2,1,1,1,1,4.0,1980,3,2,0.0,0.0,1.0
575.0,116.477171,39.994969,89.47,2,2,1,1,1,4.0,1998,3,2,0.0,0.0,1.0
270.0,116.45968,39.999245,47.56,1,0,1,1,1,1.0,2008,4,6,1.0,1.0,1.0
590.0,116.420546,39.997876,83.92,3,1,1,1,2,1.0,1990,2,6,1.0,0.0,0.0
565.0,116.30313000000001,39.950488,80.3,3,1,1,1,2,1.0,1993,3,6,1.0,1.0,1.0
555.0,116.45699099999999,39.956732,78.81,3,1,1,1,1,4.0,1979,4,6,0.0,0.0,0.0
690.0,116.44504199999999,39.894679,78.0,2,1,1,1,2,1.0,2002,4,6,1.0,1.0,0.0
585.0,116.386248,40.069552,89.19,2,1,1,1,2,3.0,2008,4,6,1.0,1.0,0.0
324.5,116.42873200000001,40.048486,103.64,2,2,1,1,0,1.0,2005,4,6,1.0,1.0,1.0
254.0,116.34663,40.096608,47.88,1,0,1,1,1,4.0,2006,4,6,1.0,1.0,1.0
282.0,116.506685,39.902187,70.33,1,1,1,1,2,4.0,2008,4,6,1.0,1.0,1.0
439.0,116.431393,39.957079,40.48,1,1,1,1,4,4.0,1988,3,2,0.0,0.0,1.0
510.0,116.44578500000001,40.077726,169.52,3,2,1,2,4,4.0,2002,4,2,0.0,1.0,0.0
503.0,116.60995700000001,39.91983,91.8,2,1,1,1,1,3.0,2009,4,6,1.0,1.0,1.0
310.0,116.24790700000001,39.839983000000004,62.35,1,1,1,1,0,3.0,2007,1,6,1.0,1.0,0.0
530.0,116.365761,39.879219,114.27,3,2,1,2,0,4.0,2000,4,2,0.0,1.0,0.0
229.0,116.43942,40.072066,101.48,2,1,1,1,2,1.0,2001,4,2,1.0,1.0,0.0
423.0,116.351354,40.072433000000004,80.23,2,1,1,1,2,4.0,2005,4,2,0.0,1.0,1.0
440.0,116.436297,39.920238,30.19,1,1,1,1,2,4.0,1988,1,4,0.0,1.0,1.0
315.0,116.594801,39.928019,57.9,1,1,1,1,3,1.0,2005,4,6,1.0,0.0,1.0
282.5,116.343245,39.900529,23.8,1,0,1,1,2,1.0,2006,4,6,1.0,0.0,1.0
339.0,116.35716799999999,39.973031,58.0,2,0,1,1,2,1.0,1992,4,6,1.0,1.0,1.0
490.0,116.318694,40.087485,119.16,3,1,1,2,1,4.0,2006,4,6,0.0,1.0,0.0
248.0,116.402983,39.859787,63.76,1,1,1,1,2,1.0,2002,1,6,1.0,1.0,0.0
404.0,116.3364,39.940908,56.76,2,1,1,1,0,1.0,1989,4,6,1.0,1.0,1.0
806.0,116.45993200000001,39.929704,80.61,3,1,1,1,1,4.0,1979,3,2,0.0,0.0,1.0
209.0,116.324898,39.891441,46.63,1,1,1,1,1,4.0,1989,3,4,0.0,0.0,1.0
235.0,116.462185,39.884984,42.12,1,1,1,1,1,1.0,1994,3,6,1.0,0.0,1.0
